1stFlrSF,GarageArea,GrLivArea,TotalBsmtSF,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GarageYrBlt,KitchenQual,OverallCond,OverallQual,YearBuilt,YearRemodAdd,SalePrice
856,548,1710,856,3,3,2,2,11,2,5,7,13,6,208500
1262,460,1262,1262,3,1,0,2,8,3,8,6,10,3,181500
920,608,1786,920,3,2,2,2,11,2,5,7,13,6,223500
961,642,1717,756,3,3,0,3,10,2,5,7,4,2,140000
1145,836,2198,1145,4,0,2,2,10,2,5,8,12,5,250000
796,480,1362,796,1,3,2,3,10,3,5,5,12,5,143000
1694,636,1694,1686,3,0,2,2,11,2,5,8,13,6,307000
1107,484,2090,1107,3,2,0,3,8,3,6,7,10,3,200000
1022,468,1774,952,2,3,6,3,4,3,5,7,6,0,129900
1077,205,1077,991,2,3,2,2,4,3,6,5,6,0,118000
1040,384,1040,1040,3,3,5,3,7,3,5,5,9,2,129500
1182,736,2324,1175,4,3,6,0,11,0,5,9,13,6,345000
912,352,912,912,2,3,0,3,7,3,6,5,9,2,144000
1494,840,1494,1494,3,0,6,2,11,2,5,7,13,6,279500
1253,352,1253,1253,3,3,1,2,6,3,5,6,8,1,157000
854,576,854,832,2,3,6,3,10,3,8,7,5,6,132000
1004,480,1004,1004,2,3,0,0,7,3,7,6,9,2,149000
1296,516,1296,0,2,4,4,3,7,3,5,4,9,2,90000
1114,576,1114,1114,3,3,2,3,11,2,5,5,13,6,159000
1339,294,1339,1029,3,3,3,3,6,3,6,5,8,2,139000
1158,853,2376,1158,4,0,6,2,11,2,5,8,13,6,325300
1108,280,1108,637,3,3,6,3,3,2,7,7,5,0,139400
1795,534,1795,1777,3,3,6,2,11,2,5,8,13,6,230000
1060,572,1060,1040,3,3,2,3,8,3,7,5,10,3,129900
1060,270,1060,1060,3,2,5,3,7,2,8,5,9,6,154000
1600,890,1600,1566,3,3,6,2,11,2,5,8,13,6,256300
900,576,900,900,3,2,6,3,11,2,7,5,8,5,134800
1704,772,1704,1704,3,3,2,3,11,2,5,8,13,6,306000
1600,319,1600,1484,2,1,1,2,6,3,6,5,8,5,207500
520,240,520,520,1,3,6,3,2,1,6,4,5,0,68500
649,250,1317,649,3,3,6,3,2,3,4,4,4,0,40000
1228,271,1228,1228,3,3,6,3,7,2,6,5,9,6,149350
1234,484,1234,1234,3,0,6,2,11,2,5,8,13,6,179900
1700,447,1700,1398,4,3,5,2,6,2,5,5,8,1,165500
1561,556,1561,1561,2,3,2,0,11,0,5,9,13,6,277500
1132,691,2452,1117,4,0,6,3,11,2,5,8,13,6,309000
1097,672,1097,1097,3,3,6,3,10,3,5,5,12,5,145000
1297,498,1297,1297,3,3,5,0,6,3,6,5,8,4,153000
1057,246,1057,1057,3,3,2,3,6,2,7,5,8,6,109000
1152,0,1152,0,3,4,4,1,12,1,5,4,8,1,82000
1324,440,1324,1088,3,3,5,3,7,3,5,6,9,2,160000
1328,308,1328,1350,2,1,1,3,6,3,6,5,8,1,170000
884,504,884,840,2,0,0,2,9,2,7,5,11,4,144000
938,308,938,938,3,0,3,3,8,3,6,5,10,3,130250
1150,300,1150,1150,3,3,0,2,6,3,6,5,8,1,141000
1752,576,1752,1752,2,3,2,2,11,0,5,9,13,6,319900
1518,670,2149,1434,1,3,2,2,11,2,5,7,13,6,239686
1656,826,1656,1656,3,0,2,3,11,2,5,8,13,6,249700
736,0,1452,736,2,3,6,1,12,3,5,4,4,6,113000
955,386,955,955,3,3,1,3,7,3,7,5,9,2,127000
794,388,1470,794,3,0,2,0,10,3,6,6,12,5,177000
816,528,1176,816,3,3,6,3,9,3,6,6,6,0,114500
816,516,816,816,2,1,3,3,7,3,5,5,9,2,110000
1842,894,1842,1842,0,1,2,0,9,2,5,9,11,4,385000
1360,572,1360,384,3,3,0,3,7,3,5,5,8,1,130000
1425,576,1425,1425,3,3,6,2,7,3,5,6,9,2,180500
983,480,1739,970,3,3,2,0,10,2,5,8,12,5,172500
860,565,1720,860,3,3,6,2,11,2,5,7,13,6,196500
1426,641,2945,1410,3,1,6,0,11,2,5,10,13,6,438780
780,352,780,780,2,0,0,3,8,3,7,5,10,3,124900
1158,576,1158,1158,3,3,0,3,11,2,5,6,13,6,158000
581,288,1111,530,3,3,6,3,4,1,7,5,4,5,101000
1370,484,1370,1370,2,2,2,2,11,2,5,8,13,6,202500
